2026-04-08 20:47:07,008 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 20:47:07,010 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 20:47:07,014 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 20:47:07,026 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 20:52:00,825 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 20:52:00,828 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 20:52:00,831 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 20:52:00,843 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 20:56:49,529 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 20:56:49,533 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 20:56:49,539 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 20:56:49,550 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 21:02:35,293 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 21:02:35,299 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 21:02:35,303 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 21:02:35,316 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 21:25:36,625 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 21:25:36,628 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 21:25:36,634 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 21:25:36,648 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 21:33:30,854 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 21:33:30,857 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 21:33:30,861 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 21:33:30,876 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 21:41:37,625 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 21:41:37,628 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 21:41:37,634 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 21:41:37,651 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 21:57:33,612 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
2026-04-08 21:57:33,616 | WARNING | app.feature_extraction | No interaction columns available; network features default to zeros.
2026-04-08 21:57:33,629 | WARNING | app.integration_service | Model bundle not found at /Users/apple/Projects/fyps/persona-detection/data/processed/best_persona_model.pkl. Falling back to heuristic scoring.
2026-04-08 21:57:33,653 | WARNING | app.attribution_clustering | No AI personas found in predictions; returning empty AI subset.
2026-04-08 22:12:20,215 | INFO | app.feature_extraction | Interaction metrics not found; defaulting interaction features to zero.
